BAB;K_NR1;K_TYP1;VON;K_NR2;K_TYP2;NACH;KM;STATUS
  1;147 ;AS  ;Saarbrücken-Neuhaus                               ;148 ;AS  ;Saarbrücken-Von der Heydt                         ; 1,4;11
  1;148 ;AS  ;Saarbrücken-Von der Heydt                         ;147 ;AS  ;Saarbrücken-Neuhaus                               ; 1,2;rr
  1;148 ;AS  ;Saarbrücken-Von der Heydt                         ;150 ;AS  ;Saarbrücken-Burbach                               ; 1,9;11
  2;1   ;AK  ;Oberhausen, Kreuz                                 ;2   ;AS  ;Oberhausen-Königshardt                            ; 2,5;11
  2;2   ;AS  ;Oberhausen-Königshardt                            ;3   ;AS  ;Bottrop                                           ; 3,6;11
  2;3   ;AS  ;Bottrop                                           ;3   ;AK  ;Bottrop, Kreuz                                    ; 0,8;11
  2;3   ;AK  ;Bottrop, Kreuz                                    ;4   ;AS  ;Gladbeck-Ellinghorst                              ; 2,8;11
  2;4   ;AS  ;Gladbeck-Ellinghorst                              ;5   ;AS  ;Essen/Gladbeck                                    ; 1,3;11
  2;5   ;AS  ;Essen/Gladbeck                                    ;6   ;AS  ;Gelsenkirchen-Buer                                ; 5,8;11
  2;6   ;AS  ;Gelsenkirchen-Buer                                ;7   ;AS  ;Herten                                            ; 5,0;11
  2;7   ;AS  ;Herten                                            ;8   ;AK  ;Recklinghausen, Kreuz                             ; 4,0;11
  2;8   ;AK  ;Recklinghausen, Kreuz                             ;9   ;AS  ;Recklinghausen-Süd                                ; 1,6;11
  2;9   ;AS  ;Recklinghausen-Süd                                ;10  ;AS  ;Recklinghausen-Ost                                ; 3,1;11
  2;10  ;AS  ;Recklinghausen-Ost                                ;11  ;AS  ;Castrop-Rauxel-Henrichenburg                      ; 4,5;11
  2;11  ;AS  ;Castrop-Rauxel-Henrichenburg                      ;12  ;AK  ;Dortmund-Nordwest, Kreuz                          ; 4,2;11
  2;12  ;AK  ;Dortmund-Nordwest, Kreuz                          ;12  ;AS  ;Dortmund-Mengede                                  ; 1,8;11
  2;12  ;AS  ;Dortmund-Mengede                                  ;13  ;AS  ;Dortmund-Nordost                                  ; 7,3;11
  2;13  ;AS  ;Dortmund-Nordost                                  ;14  ;AS  ;Dortmund-Lanstrop                                 ; 3,7;11
  2;14  ;AS  ;Dortmund-Lanstrop                                 ;15  ;AS  ;Kamen/Bergkamen                                   ; 5,2;11
  2;15  ;AS  ;Kamen/Bergkamen                                   ;16  ;AK  ;Kamener Kreuz                                     ; 4,9;11
  2;16  ;AK  ;Kamener Kreuz                                     ;17  ;AS  ;Bönen                                             ; 4,7;11
  2;17  ;AS  ;Bönen                                             ;18  ;AS  ;Hamm                                              ; 6,8;11
  2;18  ;AS  ;Hamm                                              ;19  ;AS  ;Hamm-Uentrop                                      ;11,9;11
  2;19  ;AS  ;Hamm-Uentrop                                      ;20  ;AS  ;Beckum                                            ;10,9;11
  2;20  ;AS  ;Beckum                                            ;21  ;AS  ;Oelde                                             ; 7,6;11
  2;21  ;AS  ;Oelde                                             ;23  ;AS  ;Rheda-Wiedenbrück                                 ;14,3;11
  2;23  ;AS  ;Rheda-Wiedenbrück                                 ;24  ;AS  ;Gütersloh                                         ; 8,1;11
  2;24  ;AS  ;Gütersloh                                         ;25  ;AK  ;Bielefeld, Kreuz                                  ;10,8;11
  2;25  ;AK  ;Bielefeld, Kreuz                                  ;26  ;AS  ;Bielefeld-Sennestadt                              ; 2,3;11
  2;26  ;AS  ;Bielefeld-Sennestadt                              ;27  ;AS  ;Bielefeld-Zentrum                                 ; 6,2;11
  2;27  ;AS  ;Bielefeld-Zentrum                                 ;28  ;AS  ;Ostwestfalen/Lippe                                ; 7,6;11
  2;28  ;AS  ;Ostwestfalen/Lippe                                ;29  ;AS  ;Herford/Bad Salzuflen                             ; 4,5;11
  2;29  ;AS  ;Herford/Bad Salzuflen                             ;30  ;AS  ;Herford-Ost                                       ; 5,9;11
  2;30  ;AS  ;Herford-Ost                                       ;31  ;AS  ;Exter                                             ; 3,5;11
  2;31  ;AS  ;Exter                                             ;32  ;AK  ;Bad Oeynhausen, Kreuz                             ; 8,5;11
  2;32  ;AK  ;Bad Oeynhausen, Kreuz                             ;33  ;AS  ;Porta Westfalica                                  ; 2,5;11
  2;33  ;AS  ;Porta Westfalica                                  ;34  ;AS  ;Veltheim                                          ; 5,5;11
  2;34  ;AS  ;Veltheim                                          ;35  ;AS  ;Bad Eilsen                                        ;10,8;11
  2;35  ;AS  ;Bad Eilsen                                        ;36  ;AS  ;Rehren                                            ; 9,4;11
  2;35  ;AS  ;Bad Eilsen-Ost                                    ;35  ;AS  ;Bad Eilsen                                        ; 1,4;rr
  2;36  ;AS  ;Rehren                                            ;35  ;AS  ;Bad Eilsen-Ost                                    ; 8,0;rr
  2;36  ;AS  ;Rehren                                            ;37  ;AS  ;Lauenau                                           ; 9,3;11
  2;37  ;AS  ;Lauenau                                           ;38  ;AS  ;Bad Nenndorf                                      ; 7,1;11
  2;38  ;AS  ;Bad Nenndorf                                      ;39  ;AS  ;Wunstorf-Kolenfeld                                ; 7,6;11
  2;39  ;AS  ;Wunstorf-Kolenfeld                                ;40  ;AS  ;Wunstorf-Luthe                                    ; 3,7;11
  2;40  ;AS  ;Wunstorf-Luthe                                    ;41  ;AS  ;Garbsen                                           ; 4,3;11
  2;41  ;AS  ;Garbsen                                           ;42  ;AS  ;Hannover-Herrenhausen                             ; 3,9;11
  2;42  ;AS  ;Hannover-Herrenhausen                             ;43  ;AD  ;Hannover-West, Dreieck                            ; 2,5;11
  2;43  ;AD  ;Hannover-West, Dreieck                            ;44  ;AS  ;Hannover/Langenhagen                              ; 4,3;11
  2;44  ;AS  ;Hannover/Langenhagen                              ;45  ;AS  ;Hannover-Bothfeld                                 ; 3,1;11
  2;45  ;AS  ;Hannover-Bothfeld                                 ;46  ;AS  ;Hannover-Lahe                                     ; 4,5;11
  2;46  ;AS  ;Hannover-Lahe                                     ;47  ;AK  ;Hannover-Buchholz, Kreuz                          ; 1,2;11
  2;47  ;AK  ;Hannover-Buchholz, Kreuz                          ;48  ;AK  ;Hannover-Ost, Kreuz                               ; 4,1;11
  2;48  ;AK  ;Hannover-Ost, Kreuz                               ;49  ;AS  ;Lehrte                                            ; 4,8;11
  2;49  ;AS  ;Lehrte                                            ;50  ;AS  ;Lehrte-Ost                                        ; 3,2;11
  2;50  ;AS  ;Lehrte-Ost                                        ;51  ;AS  ;Hämelerwald                                       ; 7,5;11
  2;51  ;AS  ;Hämelerwald                                       ;52  ;AS  ;Peine                                             ; 8,7;11
  2;52  ;AS  ;Peine                                             ;52  ;AS  ;Peine-Ost                                         ; 1,6;11
  2;52  ;AS  ;Peine-Ost                                         ;53  ;AS  ;Braunschweig-Watenbüttel                          ;10,6;11
  2;53  ;AS  ;Braunschweig-Watenbüttel                          ;54  ;AS  ;Braunschweig-Hafen                                ; 3,5;11
