  9;37  ;AS  ;Gefrees                                           ;38  ;AS  ;Marktschorgast                                    ; 2,5;11
  9;38  ;AS  ;Marktschorgast                                    ;39  ;AS  ;Bad Berneck i. F. /Himmelkron                     ; 5,0;11
  9;39  ;AS  ;Bad Berneck i. F. /Himmelkron                     ;40a ;AD  ;Bayreuth/Kulmbach, Dreieck                        ; 3,5;11
  9;40a ;AD  ;Bayreuth/Kulmbach, Dreieck                        ;40b ;AS  ;Bindlacher Berg                                   ; 1,2;11
  9;40b ;AS  ;Bindlacher Berg                                   ;41  ;AS  ;Bayreuth-Nord                                     ; 6,3;11
  9;41  ;AS  ;Bayreuth-Nord                                     ;42  ;AS  ;Bayreuth-Süd                                      ; 4,0;11
  9;42  ;AS  ;Bayreuth-Süd                                      ;43  ;AS  ;Trockau                                           ;15,5;11
  9;43  ;AS  ;Trockau                                           ;44  ;AS  ;Pegnitz                                           ;12,0;11
  9;44  ;AS  ;Pegnitz                                           ;45  ;AS  ;Weidensees                                        ; 4,2;11
  9;45  ;AS  ;Weidensees                                        ;46  ;AS  ;Plech                                             ; 4,6;11
  9;46  ;AS  ;Plech                                             ;47  ;AS  ;Hormersdorf                                       ; 6,8;11
  9;47  ;AS  ;Hormersdorf                                       ;48  ;AS  ;Schnaittach                                       ; 8,8;11
  9;48  ;AS  ;Schnaittach                                       ;47  ;AS  ;Hormersdorf                                       ; 8,7;rr
  9;48  ;AS  ;Schnaittach                                       ;49  ;AS  ;Lauf/Hersbruck                                    ; 5,8;11
  9;49  ;AS  ;Lauf/Hersbruck                                    ;50  ;AS  ;Lauf                                              ; 2,6;11
  9;50  ;AS  ;Lauf                                              ;51  ;AK  ;Nürnberg, Kreuz                                   ; 5,4;11
  9;51  ;AK  ;Nürnberg, Kreuz                                   ;52  ;AS  ;Nürnberg-Fischbach                                ; 6,9;11
  9;52  ;AS  ;Nürnberg-Fischbach                                ;53  ;AK  ;Nürnberg-Ost, Kreuz                               ; 1,2;11
  9;53  ;AK  ;Nürnberg-Ost, Kreuz                               ;-   ;-   ;TR Nürnberg-Feucht (Wendemöglichkeit)             ; 4,4;11
  9;-   ;-   ;TR Nürnberg-Feucht (Wendemöglichkeit)             ;54  ;AD  ;Nürnberg/Feucht, Dreieck                          ; 0,8;11
  9;54  ;AD  ;Nürnberg/Feucht, Dreieck                          ;55  ;AS  ;Allersberg                                        ;11,3;11
  9;55  ;AS  ;Allersberg                                        ;56  ;AS  ;Hilpoltstein                                      ;10,3;11
  9;56  ;AS  ;Hilpoltstein                                      ;57  ;AS  ;Greding                                           ;15,5;11
  9;57  ;AS  ;Greding                                           ;58  ;AS  ;Altmühltal                                        ; 6,3;11
  9;58  ;AS  ;Altmühltal                                        ;59  ;AS  ;Denkendorf                                        ;10,3;11
  9;59  ;AS  ;Denkendorf                                        ;60  ;AS  ;Lenting                                           ;13,1;11
  9;60  ;AS  ;Lenting                                           ;61  ;AS  ;Ingolstadt-Nord                                   ; 4,9;11
  9;61  ;AS  ;Ingolstadt-Nord                                   ;62  ;AS  ;Ingolstadt-Süd                                    ; 2,4;11
  9;62  ;AS  ;Ingolstadt-Süd                                    ;63  ;AS  ;Manching                                          ; 4,9;11
  9;63  ;AS  ;Manching                                          ;64  ;AS  ;Langenbruck                                       ; 7,6;11
  9;64  ;AS  ;Langenbruck                                       ;65  ;AD  ;Holledau, Dreieck                                 ; 9,5;11
  9;65  ;AD  ;Holledau, Dreieck                                 ;-   ;-   ;TR In der Holledau (Wendemöglichkeit)             ; 2,9;11
  9;-   ;-   ;TR In der Holledau (Wendemöglichkeit)             ;66  ;AS  ;Pfaffenhofen                                      ; 6,0;11
  9;66  ;AS  ;Pfaffenhofen                                      ;67  ;AS  ;Allershausen                                      ; 8,7;11
  9;67  ;AS  ;Allershausen                                      ;68  ;AK  ;Neufahrn, Kreuz                                   ;13,0;11
  9;68  ;AK  ;Neufahrn, Kreuz                                   ;69  ;AS  ;Eching                                            ; 1,9;11
  9;69  ;AS  ;Eching                                            ;70  ;AS  ;Garching-Nord                                     ; 4,2;11
  9;70  ;AS  ;Garching-Nord                                     ;71  ;AS  ;Garching-Süd                                      ; 2,4;11
  9;71  ;AS  ;Garching-Süd                                      ;72  ;AK  ;München-Nord, Kreuz                               ; 2,6;11
  9;72  ;AK  ;München-Nord, Kreuz                               ;73  ;AS  ;München-Fröttmaning                               ; 1,8;11
  9;73  ;AS  ;München-Fröttmaning                               ;74  ;AS  ;München-Freimann                                  ; 0,9;11
  9;74  ;AS  ;München-Freimann                                  ;75  ;AS  ;München-Frankfurter Ring                          ; 1,3;11
  9;75  ;AS  ;München-Frankfurter Ring                          ;76  ;AS  ;München-Schwabing                                 ; 2,0;11
 14;-   ;AN  ;Dahlenwarsleben (Übergang A 14/B 71)              ;1   ;AS  ;Dahlenwarsleben                                   ; 0,5;11
 14;1   ;AS  ;Dahlenwarsleben                                   ;2   ;AK  ;Magdeburg, Kreuz                                  ; 3,7;11
 14;2   ;AK  ;Magdeburg, Kreuz                                  ;3   ;AS  ;Magdeburg-Stadtfeld                               ; 2,7;11
 14;3   ;AS  ;Magdeburg-Stadtfeld                               ;4   ;AS  ;Wanzleben                                         ; 7,1;11
 14;4   ;AS  ;Wanzleben                                         ;5   ;AS  ;Magdeburg-Sudenburg                               ; 1,7;11
 14;5   ;AS  ;Magdeburg-Sudenburg                               ;6   ;AS  ;Magdeburg-Reform                                  ; 4,4;11
 14;6   ;AS  ;Magdeburg-Reform                                  ;7   ;AS  ;Schönebeck                                        ; 6,6;11
 14;7   ;AS  ;Schönebeck                                        ;8   ;AS  ;Calbe                                             ;12,4;11
 14;8   ;AS  ;Calbe                                             ;9   ;AS  ;Stassfurt                                         ; 5,4;11
 14;9   ;AS  ;Stassfurt                                         ;10  ;AS  ;Bernburg                                          ; 5,4;11
 14;10  ;AS  ;Bernburg                                          ;11  ;AS  ;Plötzkau                                          ; 8,1;11
 14;11  ;AS  ;Plötzkau                                          ;12  ;AS  ;Könnern                                           ; 9,2;11
 14;12  ;AS  ;Könnern                                           ;13  ;AS  ;Löbejün                                           ; 8,3;11
 14;13  ;AS  ;Löbejün                                           ;15  ;AS  ;Trotha                                            ; 7,9;11
 14;15  ;AS  ;Trotha                                            ;16  ;AS  ;Tornau                                            ; 9,4;11
 14;16  ;AS  ;Tornau                                            ;17  ;AS  ;Halle/Peißen                                      ; 4,5;11
 14;17  ;AS  ;Halle/Peißen                                      ;18  ;BS  ;Behelfs-AS Halle-Ost                              ; 3,9;11
 14;18  ;BS  ;Behelfs-AS Halle-Ost                              ;19  ;BS  ;Gröbers (Behelfs-AS)                              ; 4,6;11
 14;19  ;BS  ;Gröbers (Behelfs-AS)                              ;20  ;AK  ;Schkeuditzer Kreuz                                ; 5,8;11
 14;20  ;AK  ;Schkeuditzer Kreuz                                ;21  ;AS  ;Schkeuditz                                        ; 4,2;11
 14;21  ;AS  ;Schkeuditz                                        ;22  ;AS  ;Leipzig-Nord                                      ; 3,7;11
 14;22  ;AS  ;Leipzig-Nord                                      ;23  ;AS  ;Leipzig-Mitte                                     ; 5,6;11
 14;23  ;AS  ;Leipzig-Mitte                                     ;24  ;AS  ;Leipzig-Messegelände                              ; 2,4;11
 14;24  ;AS  ;Leipzig-Messegelände                              ;25  ;AS  ;Leipzig-Nordost                                   ; 4,5;11
 14;25  ;AS  ;Leipzig-Nordost                                   ;26  ;AS  ;Leipzig-Ost                                       ; 2,5;11
 14;26  ;AS  ;Leipzig-Ost                                       ;27  ;AS  ;Kleinpösna                                        ; 4,5;11
 14;27  ;AS  ;Kleinpösna                                        ;28  ;AD  ;Partheaue                                         ; 2,4;1g
 14;28  ;AD  ;Partheaue                                         ;29  ;AS  ;Naunhof                                           ; 3,1;g1
 14;29  ;AS  ;Naunhof                                           ;30  ;AS  ;Klinga                                            ; 3,8;11
 14;30  ;AS  ;Klinga                                            ;31  ;AS  ;Grimma                                            ; 7,3;11
 14;31  ;AS  ;Grimma                                            ;32  ;AS  ;Mutzschen                                         ; 9,2;11
 14;32  ;AS  ;Mutzschen                                         ;33  ;AS  ;Leisnig                                           ; 9,4;11
 14;33  ;AS  ;Leisnig                                           ;34  ;AS  ;Döbeln-Nord                                       ;12,2;11
 14;34  ;AS  ;Döbeln-Nord                                       ;35  ;AS  ;Döbeln-Ost                                        ; 6,5;11
 14;35  ;AS  ;Döbeln-Ost                                        ;36  ;AS  ;Nossen-Nord                                       ; 7,3;11
 14;36  ;AS  ;Nossen-Nord                                       ;37  ;AS  ;Nossen-Ost                                        ; 6,1;11
 14;37  ;AS  ;Nossen-Ost                                        ;38  ;AD  ;Nossen, Dreieck                                   ; 1,6;11
